target_id	length	eff_length	est_counts	tpm
mt:CoI	4135	3987.01	671062	10621.3
Ars2	8485	8337.01	29216	221.143
Pak	4439	4291.01	2282	33.5597
CG6420	6061	5913.01	462	4.93055
Ctl1	4004	3856.01	4744	77.637
CG2258	3797	3649.01	69	1.19326
CG4078	3429	3281.01	111	2.1349
CG18659	4948	4800.01	1067	14.0276
Raf	3085	2937.01	275	5.90866
mt:ND5	7218	7070.01	393679	3513.86
gw	6473	6325.01	6576	65.6089
Srp72	3876	3728.01	1406	23.7996
Gclc	3086	2938.01	309	6.63693
CG30389	5655	5507.01	840.22	9.62807
brat	4239	4091.01	2820	43.4991
pigs	4293	4145.01	241	3.66905
lap	2781	2633.01	332	7.95696
CG32767	4738	4590.01	1914	26.3142
IntS11	7067	6919.01	8594.24	78.3837
CG8036	2389	2241.01	1324	37.2826
Src64B	2221	2073.01	3815	116.133
scra	5304	5156.01	5753	70.4113
Pp2A-29B	2573	2425.01	9337	242.972
Gfat2	2642	2494.01	406	10.2728
CG13631	1043	895.013	20	1.41014
Hsp68	2306	2158.01	756	22.107
Nrt	4369	4221.01	9784	146.272
CysRS	2531	2383.01	1330	35.2199
tup	4032	3884.01	12	0.194968
Vha13	607	459.116	197	27.0773
Fit1	4102	3954.01	1183	18.8803
Clbn	3582	3434.01	487	8.9493
chn	3326	3178.01	4837	96.0468
Exo70	5375	5227.01	1027	12.3988
Cks85A	953	805.013	366	28.6907
CG6686	3419	3271.01	2218	42.7899
drm	14252	14104	5.76427	0.0257907
CG6418	3686	3538.01	515	9.18565
Ns2	3417	3269.01	3281	63.3362
Atg2	6667	6519.01	10099	97.7595
CG14881	657	509.105	137	16.9815
retm	4104	3956.01	72	1.14852
CG1234	3885	3737.01	1164	19.6558
blw	3939	3791.01	6376	106.134
CG34449	4485	4337.01	123.471	1.79654
hts	3478	3330.01	4722	89.4834
Slh	2522	2374.01	2608	69.3245
CG5608	3537	3389.01	601	11.1909
Rop	2370	2222.01	359	10.1955
Miro	2390	2242.01	1219	34.3106
Gprk2	2660	2512.01	72	1.80873
cnk	5416	5268.01	3001	35.9486
defl	3338	3190.01	1178	23.3032
Zn72D	3061	2913.01	5036	109.095
Cdc27	4333	4185.01	445	6.71005
CecC	285	141.494	3	1.33797
Trs20	326	180.495	230	80.4128
CG43324	1270	1122.01	28	1.57479
rad50	4637	4489.01	60	0.843456
Usp5	4791	4643.01	2083	28.3108
Sec63	2896	2748.01	1212	27.8321
CG8379	2919	2771.01	755	17.1938
E23	4276	4128.01	159	2.43063
bel	3135	2987.01	6636	140.195
inaE	3019	2871.01	1182	25.9803
IntS6	2890	2742.01	706	16.2479
timeout	2578	2430.01	259	6.72595
pix	2078	1930.01	7579	247.807
CG11279	848	700.042	220	19.8318
Non1	2530	2382.01	6819	180.65
Cse1	2502	2354.01	812	21.7675
Cka	3130	2982.01	1248	26.4099
CG9281	4837	4689.01	5933	79.8464
l(2)efl	271	128.455	0	0
CG8230	3374	3226.01	1161	22.7106
Mbs	5272	5124.01	633	7.79571
Drp1	2693	2545.01	2000	49.5909
RpS29	916	768.033	52437	4308.44
CG9062	2916	2768.01	590	13.4507
tai	9490	9342.01	195	1.31721
sing	495	347.262	4	0.726884
BicC	4604	4456.01	2797	39.6103
nAChRalpha3	3930	3782.01	11.8405	0.197564
mRpL33	439	291.503	351	75.9847
Cpsf100	3391	3243.01	2523	49.0943
CG7154	3112	2964.01	2181	46.4342
CG9034	2178	2030.01	1964	61.0527
mus308	3328	3180.01	217	4.30619
ttv	3980	3832.01	1503	24.7511
Sec6	2340	2192.01	232	6.67893
CG7841	1480	1332.01	246	11.6544
E(z)	4668	4520.01	3256	45.4577
Sec10	2379	2231.01	168	4.75192
CG32276	1418	1270.01	6728	334.303
whd	2699	2551.01	1957	48.4106
g	2750	2602.01	315	7.63947
FIG4	2320	2172.01	439	12.7545
pigeon	7078	6930.01	1787.45	16.2765
CG1951	3056	2908.01	881	19.118
Pex6	3778	3630.01	387	6.72768
Hsc70Cb	3132	2984.01	4937	104.406
CG13043	1623	1475.01	645	27.5947
Cog3	3068	2920.01	1358	29.3479
ksh	493	345.262	642	117.341
Patj	3035	2887.01	1159	25.3336
Cul2	5332	5184.01	4321	52.5994
CG5004	4972	4824.01	973	12.7282
Sara	5368	5220.01	212	2.56287
Klp68D	2569	2421.01	658	17.1511
p115	4450	4302.01	87086	1277.44
alpha-Man-IIb	2912	2764.01	1423	32.4883
CG10333	5216	5068.01	1138	14.1699
enc	8629	8481.01	188	1.39885
Vha68-2	2072	1924.01	927	30.4042
Rab3-GAP	4309	4161.01	294	4.45872
comt	2289	2141.01	169	4.98115
CG8607	515	367.2	106	18.2165
Acsl	4488	4340.01	2325	33.806
CG1578	3323	3175.01	271	5.38624
CG33977	472	324.329	437	85.0272
IntS8	8102	7954.01	4270	33.8769
CG6770	1814	1666.01	38195	1446.74
CG12994	1100	952.013	18	1.19314
CG10737	3379	3231.01	41	0.800769
CG34150	698	550.079	561	64.3577
CG8841	3299	3151.01	262	5.24703
Rs1	2569	2421.01	1816	47.3349
Hsc70-4	2566	2418.01	20015	522.347
Cdc5	3785	3637.01	2945	51.0979
wts	6539	6391.01	23429	231.338
CG15347	840	692.042	6	0.547118
mam	6163	6015.01	407	4.26992
Mcm5	3354	3206.01	9184	180.771
Gprk1	3778	3630.01	740	12.8643
Eps-15	5835	5687.01	945	10.486
CG5157	530	382.162	8	1.321
CG3764	5328	5180.01	628	7.65052
Br140	2833	2685.01	549	12.9029
Pex1	3230	3082.01	517	10.5857
dpa	2672	2524.01	2531	63.2795
Sec15	4892	4744.01	1292	17.1862
Marf	2913	2765.01	3004	68.5591
Smurf	4407	4259.01	4968	73.6097
Cul4	3925	3777.01	1586	26.4982
flfl	4778	4630.01	2425	33.0515
HSPC300	1259	1111.01	227	12.8934
Naa15-16	4167	4019.01	5193	81.5382
CalpA	2962	2814.01	192	4.30564
Cks30A	1887	1739.01	4069	147.655
gro	2467	2319.01	3995	108.712
l(3)76BDm	4847	4699.01	1932	25.9455
Sec61gamma	679	531.085	8008	951.529
Dis3	3063	2915.01	1118	24.2027
ALiX	4480	4332.01	2081	30.3141
CG31908	3696	3548.01	7071	125.764
E(Pc)	9872	9724.01	1126.52	7.31063
ema	3146	2998.01	1133	23.8484
hay	4342	4194.01	2418	36.3822
S6kII	6964	6816.01	3516	32.5522
Xpd	2658	2510.01	33	0.82966
Graf	4816	4668.01	1157	15.641
CG16986	977	829.013	311	23.6734
Ggamma1	3641	3493.01	3215	58.0822
CG31109	1053	905.013	3077	214.553
bcn92	655	507.105	1614	200.848
CG33672	621	473.105	311	41.4825
CG6654	1367	1219.01	306	15.8407
CG7457	4689	4541.01	167	2.32074
CG6511	6058	5910.01	2120	22.6365
Sec5	3216	3068.01	802	16.496
CG13365	757	609.05	362	37.5075
Spec2	1841	1693.01	598	22.2896
yata	3980	3832.01	303	4.98974
RpL38	2450	2302.01	31870	873.648
CG8064	3566	3418.01	1754	32.3831
CG34229	350	203.79	242	74.9369
Acf	11000	10852	1898	11.0369
Cbp80	2921	2773.01	567	12.9031
SMC2	4028	3880.01	663	10.7831
ATPsynE	593	445.116	3414	484.008
asp	6740	6592.01	3515	33.6488
CG10353	4496	4348.01	190	2.75756
Sec23	4987	4839.01	739	9.63718
CG14812	325	179.524	17	5.97568
Top3beta	2975	2827.01	189	4.21887
bsf	3602	3454.01	479	8.75133
CG1789	771	623.05	430	43.552
antdh	436	288.525	43	9.40475
ClC-c	4116	3968.01	602	9.57383
stmA	3349	3201.01	2677	52.7744
beta'COP	3186	3038.01	3583	74.4251
eIF3c	3519	3371.01	12133	227.128
Vha100-2	2913	2765.01	5937	135.498
Sfmbt	6504	6356.01	3539	35.1365
arm	3231	3083.01	5223	106.907
Unr	3997	3849.01	1418	23.2482
CG18081	2252	2104.01	16757	502.586
MetRS	3017	2869.01	592	13.0212
CG33158	3269	3121.01	4449	89.9558
cdm	3630	3482.01	632	11.4538
l(1)G0020	6630	6482.01	6212	60.4761
stac	3789	3641.01	780	13.5187
egl	5983	5835.01	3573	38.6415
Epac	4095	3947.01	28.6698	0.458372
CG7685	715	567.065	8	0.890265
Hil	3118	2970.01	128	2.71966
rno	9016	8868.01	341	2.42656
trx	8954	8806.01	412	2.95243
Irp-1B	3333	3185.01	1436	28.4515
SmF	723	575.065	1085	119.063
RecQ4	5665	5517.01	428	4.89556
CG5446	745	597.058	2371	250.598
CG3356	3888	3740.01	2407	40.613
CG31917	630	482.105	1114	145.816
CG42271	6484	6336.01	2148	21.3934
bc10	2692	2544.01	6184	153.395
mib2	7525	7377.01	4831	41.3256
Dap160	4992	4844.01	1037	13.5094
CG18065	556	408.138	123	19.0178
AOX3	4920	4772.01	868	11.4784
ND-MLRQ	1210	1062.01	1937	115.096
CG8176	6943	6795.01	1345.89	12.4992
melt	4154	4006.01	54	0.850636
Abl	4367	4219.01	171	2.55769
HmgD	926	778.033	19308	1566.04
mor	4430	4282.01	4566	67.2899
dmrt99B	353	206.715	1	0.305275
Vps8	4915	4767.01	1157	15.3161
CG8177	3184	3036.01	31	0.644348
CG6454	4909	4761.01	1095	14.5137
kel	5664	5516.01	8856	101.315
Ctr9	4847	4699.01	3564	47.8623
drm_1	2018	1870.01	8.23573	0.27792
KrT95D	3767	3619.01	1141	19.8956
eIF3a	3796	3648.01	9763	168.884
CG6752	4860	4712.01	392	5.24979
Sec31	4674	4526.01	489	6.81797
CG11873	8580	8432.01	743.458	5.564
grh	6943	6795.01	1447.67	13.4444
eIF5B	4482	4334.01	280	4.0769
GAPcenA	4823	4675.01	1364	18.4117
pds5	6305	6157.01	5477	56.1352
SmE	957	809.013	489	38.1431
wapl	5994	5846.01	1523	16.44
GlyP	4075	3927.01	1854	29.7927
ND-15	992	844.013	1269	94.88
woc	7172	7024.01	937	8.41815
FBXO11	5805	5657.01	2299	25.6457
kz	4017	3869.01	643	10.4875
smt3	2515	2367.01	16873.6	449.851
CG18787	1980	1832.01	1105	38.0624
eEF2	2903	2755.01	280998	6436.38
pod1	3876	3728.01	4796	81.1828
DnaJ-H	2399	2251.01	122	3.42014
CG8042	657	509.105	198	24.5426
Vinc	3089	2941.01	51	1.0943
Sf3b5	1816	1668.01	1245	47.1012
mRpS21	1099	951.013	685	45.4534
Tao	6433	6285.01	2832	28.4347
CASK	3961	3813.01	203	3.35962
CG12948	1291	1143.01	1136	62.7176
Actn	4311	4163.01	1770	26.8304
nocte	9807	9659.01	389	2.54144
CG9932	8702	8554.01	109	0.804116
Slik	4969	4821.01	980	12.8277
CG34126	3965	3817.01	1355.98	22.4177
CG6610	1584	1436.01	1382	60.7312
vap	3812	3664.01	209	3.59958
CG12496	1541	1393.01	7	0.317107
RpS27	1541	1393.01	34875	1579.87
baf	725	577.058	1388	151.786
ATPsynG	567	419.127	5947	895.394
Ranbp21	8291	8143.01	1785	13.833
CG12384	1432	1284.01	4651	228.581
ex	10918	10770	3008	17.6248
CG4593	1352	1204.01	674	35.3257
Mlp60A	555	407.138	9	1.39497
Nc73EF	4348	4200.01	8588	129.034
CG32813	649	501.105	2	0.251863
AP-1-2beta	3323	3175.01	3879	77.0968
PAN2	4291	4143.01	2109	32.1235
CG15168	1285	1137.01	1193	66.2121
AGO1	6714	6566.01	4348	41.7879
Vps15	3820	3672.01	2738	47.0535
CG18335	1107	959.013	8	0.526414
CG9821	4163	4015.01	601	9.44604
Mtor	8471	8323.01	5412	41.0336
fok	1537	1389.01	202	9.17714
DCTN150	4656	4508.01	3923	54.9156
msk	3860	3712.01	17233	292.964
RhoGAP1A	9442	9294.01	1482	10.0625
CG7324	4688	4540.01	5317	73.9047
Girdin	5088	4940.01	2819	36.0105
jagn	1153	1005.01	1946	122.189
Oseg1	4735	4587.01	278	3.82452
CG13063	583	435.122	13	1.88536
CG14903	908	760.033	129	10.7107
CG11539	1052	904.013	318	22.198
Oseg4	4108	3960.01	569	9.0673
garz	4260	4112.01	1260.11	19.3382
CG11897	4882	4734.01	6203	82.6865
CG10418	625	477.105	811	107.268
dre4	3782	3634.01	2742	47.6149
SA	3628	3480.01	332	6.02032
ATPCL	4494	4346.01	817	11.863
CG14562	4856	4708.01	392	5.25425
CG3520	4119	3971.01	511	8.12048
chb	8696	8548.01	3377	24.9303
Synj	6318	6170.01	3144	32.1558
Spt5	6287	6139.01	15369	157.983
CG14191	609	461.116	1	0.136852
Pfdn4	2924	2776.01	1968	44.7369
robl	783	635.05	1606	159.588
CG8206	1861	1713.01	135	4.97319
SERCA	7194	7046.01	13396	119.976
fs(2)ltoPP43	1870	1722.01	1946	71.313
Ptip	8063	7915.01	525.619	4.19065
CG4562	4907	4759.01	273	3.62
Patronin	6596	6448.01	2701	26.4339
CG17768	869	721.033	351	30.7195
GXIVsPLA2	355	208.665	84	25.4034
Usp7	5528	5380.01	1485	17.4183
Sec61beta	1056	908.013	1199	83.3277
e(r)	1915	1767.01	4116	146.993
CG8009	1050	902.013	1362	95.2855
Karybeta3	13675	13527	17212.8	80.2991
CG11563	775	627.05	386	38.8461
Myo95E	4890	4742.01	293	3.89912
pic	3862	3714.01	1868	31.7392
RpS26	1155	1007.01	56378	3532.95
x16	1828	1680.01	4709	176.88
Tektin-C	375	228.232	2	0.552989
TfIIA-S	931	783.023	10827	872.561
Thor	2040	1892.01	196	6.53724
Paip2	1959	1811.01	37450	1304.95
CG7627	5152	5004.01	2105	26.5458
RpL37A	1310	1162.01	10879	590.8
FK506-bp2	1277	1129.01	17454	975.57
Rbp1-like	1386	1238.01	6859	349.621
CG8149	1875	1727.01	5752	210.177
Prosalpha4	910	762.033	1744	144.423
norpA	3569	3421.01	355	6.54841
CG6329	2012	1864.01	3	0.101563
CG9422	2185	2037.01	855	26.4871
Lar	3492	3344.01	534.127	10.0795
SMC3	4662	4514.01	1254	17.5306
Pph13	510	362.209	584	101.746
ND-B17.2	1807	1659.01	5066	192.698
Liprin-alpha	4574	4426.01	943	13.445
Trpgamma	4606	4458.01	50	0.707768
icln	1715	1567.01	6501	261.8
ATPsynF	880	732.033	6368	548.953
UQCR-14	798	650.05	3660	355.301
mRpS16	3194	3046.01	4077	84.4639
Swip-1	701	553.065	96	10.9536
Tsp42Ei	1393	1245.01	285	14.4455
CG6340	1764	1616.01	3444	134.487
Nup98-96	9456	9308.01	13767	93.335
CG3740	897	749.033	56	4.71791
CG13551	616	468.111	893	120.383
Spt6	6632	6484.01	7683	74.7738
CG12107	1091	943.013	1891	126.542
edl	1983	1835.01	148	5.08961
sti	6459	6311.01	3576	35.757
beta-Spec	3655	3507.01	970	17.4541
Roc1a	901	753.033	12209	1023.12
Phf5a	522	374.176	84	14.1666
RpLP2	1394	1246.01	92269	4673
eIF1	1327	1179.01	6591	352.773
SmD1	990	842.013	1813	135.876
PMCA	9542	9394.01	2063	13.8583
CG42637	5984	5836.01	257	2.77894
Dlg5	6749	6601.01	163	1.55826
ND-B14.7	842	694.042	1099	99.9251
Cyt-cPA	1917	1769.01	5910	210.823
borr	1571	1423.01	7897	350.2
CG33932	1232	1084.01	1277	74.3393
nmdyn-D6	1425	1277.01	396	19.5687
Blos1	15959	15811	7606	30.357
CG2846	1084	936.013	54	3.64061
CG12393	1746	1598.01	543	21.4428
CG11858	520	372.176	1531	259.59
CG12975	2029	1881.01	479	16.0696
HmgZ	1363	1215.01	817	42.433
CG42240	2863	2715.01	147	3.41671
Atpalpha	4143	3995.01	3134	49.5043
Bet5	536	388.162	432	70.2316
akirin	2820	2672.01	6201	146.449
Sf3b3	4112	3964.01	3774	60.0799
Su(var)3-9	1156	1008.01	448.639	28.0862
Pym	2165	2017.01	1022	31.9746
RpLP1	2179	2031.01	7739	240.455
CG11151	706	558.065	422	47.7189
CG15387	1790	1642.01	1647	63.2964
Dlc90F	1932	1784.01	3473	122.848
BCL7-like	2174	2026.01	1717	53.4799
CG14696	620	472.105	4	0.534668
Sbf	5381	5233.01	1985	23.9371
Ref1	1621	1473.01	34052	1458.81
EloB	1125	977.013	2216	143.13
RpL35	683	535.079	45055	5313.58
CG8675	1169	1021.01	848	52.4115
Tomosyn	4566	4418.01	118	1.68546
Rpb4	555	407.138	193.824	30.042
Yippee	1026	878.013	1611	115.786
PCB	5262	5114.01	1231	15.19
mge	3360	3212.01	1264	24.8332
CG11137	1845	1697.01	641	23.8361
RpL30	1355	1207.01	28945	1513.3
plx	8452	8304.01	709	5.38791
rdgB	5141	4993.01	51	0.64457
CG4036	663	515.105	113	13.8435
GstE13	900	752.033	7	0.587386
alphaCOP	6008	5860.01	32796	353.171
CG7766	8784	8636.01	2266	16.558
Tm2	353	206.715	1	0.305275
Rpb11	483	335.3	1786	336.132
Chchd2	768	620.05	656	66.7635
Vha14-1	773	625.05	1753	176.982
RpL36	1467	1319.01	58579	2802.56
CG11722	764	616.05	225	23.0478
RpL36A	650	502.105	25748	3236.02
CG1572	969	821.013	22	1.69097
TwdlL	1427	1279.01	14	0.690741
Pfdn1	704	556.065	1932	219.252
Tsp39D	586	438.122	423	60.9267
RhoGAPp190	5597	5449.01	2380	27.5627
emc	1402	1254.01	3882	195.351
cl	638	490.105	4028	518.636
FRG1	552	404.138	818	127.728
dgt6	1954	1806.01	478	16.702
RpS17	648	500.105	60189	7594.84
Ntf-2	1062	914.013	6551	452.291
UK114	618	470.111	1297	174.101
Atg8a	1284	1136.01	10931	607.21
Sf3b6	880	732.033	2575	221.978
Sh3beta	4212	4064.01	1667	25.8847
MED21	1339	1191.01	4816	255.172
CG33298	7169	7021.01	1168	10.498
CG42808	928	780.023	26	2.10343
Pmm2	689	541.079	365	42.5691
Oseg6	4799	4651.01	209	2.8357
MagR	800	652.05	241	23.3237
Cpsf160	6355	6207.01	2105	21.4009
CG2765	3525	3377.01	55	1.02776
LSm-4	1458	1310.01	637	30.685
CG15309	4742	4594.01	138	1.89561
Orc6	2631	2483.01	1125	28.5914
CG15561	996	848.013	450	33.4867
CG11835	4495	4347.01	89	1.292
CG34039	999	851.013	317	23.5064
CG3402	1229	1081.01	647	37.769
fln	730	582.058	3	0.32525
ND-B14	3154	3006.01	30642	643.263
l(1)10Bb	543	395.153	1240	198.025
Sf3b1	6004	5856.01	2669	28.7613
mRpL27	500	352.244	116	20.7815
Map60	2306	2158.01	9574	279.964
CG5964	2379	2231.01	42	1.18798
HLH4C	545	397.143	7	1.11228
MED10	1385	1237.01	4626	235.99
CG9360	862	714.042	2	0.176754
MED31	1895	1747.01	3255	117.576
CG7519	1117	969.013	874	56.9173
CG8814	2649	2501.01	438	11.0515
RpS20	729	581.058	78820	8560.11
Ubc7	1745	1597.01	1566	61.8793
puf	6832	6684.01	523	4.93772
mbf1	1665	1517.01	204	8.486
CG3760	2327	2179.01	10505	304.228
mRpL20	1182	1034.01	4238	258.641
CG1738	1409	1261.01	1364	68.2586
CG12909	2191	2043.01	482	14.8881
Crag	5962	5814.01	351	3.80972
chic	1206	1058.01	5392	321.604
CG43867	5838	5690.01	587	6.51009
Cadps	5898	5750.01	819	8.9883
Nlp	1879	1731.01	16770	611.357
PDCD-5	868	720.033	3920	343.555
ssp2	1740	1592.01	1260	49.9443
CG34408	5376	5228.01	251	3.0297
CG32815	2683	2535.01	19	0.472972
CG16812	4483	4335.01	3972	57.8204
ind	1140	992.013	23	1.4631
SdhC	2102	1954.01	2306	74.4722
RpS24	680	532.085	57703	6843.52
GstO3	666	518.098	26	3.16682
CG11753	1034	886.013	513	36.5376
RpL35A	1540	1392.01	39908	1809.17
CG10874	2280	2132.01	1347	39.8694
CG8320	974	826.013	785	59.9715
CG17292	611	463.111	29	3.95162
Hel89B	7594	7446.01	3180	26.9504
dnr1	6615	6467.01	4	0.0390318
CG9662	782	634.05	1410	140.332
Sgt1	982	834.013	2446	185.074
ATbp	1838	1690.01	124	4.63014
CG32576	949	801.023	649	51.1284
NC2alpha	2318	2170.01	899.878	26.1688
GMF	1360	1212.01	283	14.7347
CG4866	754	606.05	1562	162.643
Mhcl	5570	5422.01	749	8.71733
Pi3K68D	7360	7212.01	695	6.08122
CG7694	1296	1148.01	450.621	24.77
ORMDL	1219	1071.01	249	14.6712
Dhfr	894	746.033	707	59.8031
qm	615	467.111	42	5.67403
Arpc5	1896	1748.01	1367	49.3499
CG12795	1564	1416.01	668	29.7695
TMEM216	5231	5083.01	1596.34	19.8183
CG15435	2577	2429.01	9392	244
RpL26	812	664.05	36026.4	3423.6
CG11975	738	590.058	4083	436.664
MED20	2224	2076.01	557	16.9312
se	1114	966.013	864	56.4408
mRpL37	1416	1268.01	696	34.6376
dikar	14917	14769	2527.76	10.8006
mago	668	520.085	3791	459.983
Rbcn-3B	5841	5693.01	1334	14.7869
